mese;Regioni di residenza;Strutture;Valori
Aprile;LIGURIA;Alberghi 4 stelle;2221
Maggio;LIGURIA;Alberghi 4 stelle;2489
Giugno;LIGURIA;Alberghi 4 stelle;2415
Luglio;LIGURIA;Alberghi 4 stelle;1616
Agosto;LIGURIA;Alberghi 4 stelle;822
Settembre;LIGURIA;Alberghi 4 stelle;2104
Ottobre;LIGURIA;Alberghi 4 stelle;2925
Novembre;LIGURIA;Alberghi 4 stelle;3029
Dicembre;LIGURIA;Alberghi 4 stelle;2679
Gennaio;EMILIA ROMAGNA;Alberghi 4 stelle;4669
Febbraio;EMILIA ROMAGNA;Alberghi 4 stelle;5763
Marzo;EMILIA ROMAGNA;Alberghi 4 stelle;5246
Aprile;EMILIA ROMAGNA;Alberghi 4 stelle;4970
Maggio;EMILIA ROMAGNA;Alberghi 4 stelle;5143
Giugno;EMILIA ROMAGNA;Alberghi 4 stelle;4909
Luglio;EMILIA ROMAGNA;Alberghi 4 stelle;3823
Agosto;EMILIA ROMAGNA;Alberghi 4 stelle;1665
Settembre;EMILIA ROMAGNA;Alberghi 4 stelle;4795
Ottobre;EMILIA ROMAGNA;Alberghi 4 stelle;6490
Novembre;EMILIA ROMAGNA;Alberghi 4 stelle;6426
Dicembre;EMILIA ROMAGNA;Alberghi 4 stelle;5946
Gennaio;TOSCANA;Alberghi 4 stelle;5378
Febbraio;TOSCANA;Alberghi 4 stelle;6343
Marzo;TOSCANA;Alberghi 4 stelle;5369
Aprile;TOSCANA;Alberghi 4 stelle;5255
Maggio;TOSCANA;Alberghi 4 stelle;5587
Giugno;TOSCANA;Alberghi 4 stelle;5273
Luglio;TOSCANA;Alberghi 4 stelle;4033
Agosto;TOSCANA;Alberghi 4 stelle;1622
Settembre;TOSCANA;Alberghi 4 stelle;5665
Ottobre;TOSCANA;Alberghi 4 stelle;6106
Novembre;TOSCANA;Alberghi 4 stelle;6766
Dicembre;TOSCANA;Alberghi 4 stelle;6354
Gennaio;UMBRIA;Alberghi 4 stelle;1207
Febbraio;UMBRIA;Alberghi 4 stelle;1381
Marzo;UMBRIA;Alberghi 4 stelle;1223
Aprile;UMBRIA;Alberghi 4 stelle;1222
Maggio;UMBRIA;Alberghi 4 stelle;1244
Giugno;UMBRIA;Alberghi 4 stelle;1070
Luglio;UMBRIA;Alberghi 4 stelle;947
Agosto;UMBRIA;Alberghi 4 stelle;437
Settembre;UMBRIA;Alberghi 4 stelle;1165
Ottobre;UMBRIA;Alberghi 4 stelle;1324
Novembre;UMBRIA;Alberghi 4 stelle;1434
Dicembre;UMBRIA;Alberghi 4 stelle;1185
Gennaio;MARCHE;Alberghi 4 stelle;1923
Febbraio;MARCHE;Alberghi 4 stelle;2424
Marzo;MARCHE;Alberghi 4 stelle;2196
Aprile;MARCHE;Alberghi 4 stelle;2106
Maggio;MARCHE;Alberghi 4 stelle;2012
Giugno;MARCHE;Alberghi 4 stelle;1863
Luglio;MARCHE;Alberghi 4 stelle;1427
Agosto;MARCHE;Alberghi 4 stelle;755
Settembre;MARCHE;Alberghi 4 stelle;2258
Ottobre;MARCHE;Alberghi 4 stelle;2335
Novembre;MARCHE;Alberghi 4 stelle;2442
Dicembre;MARCHE;Alberghi 4 stelle;2082
Gennaio;LAZIO;Alberghi 4 stelle;11855
Febbraio;LAZIO;Alberghi 4 stelle;12764
Marzo;LAZIO;Alberghi 4 stelle;13096
Aprile;LAZIO;Alberghi 4 stelle;12691
Maggio;LAZIO;Alberghi 4 stelle;14838
Giugno;LAZIO;Alberghi 4 stelle;13059
Luglio;LAZIO;Alberghi 4 stelle;11530
Agosto;LAZIO;Alberghi 4 stelle;4057
Settembre;LAZIO;Alberghi 4 stelle;12310
Ottobre;LAZIO;Alberghi 4 stelle;14805
Novembre;LAZIO;Alberghi 4 stelle;16649
Dicembre;LAZIO;Alberghi 4 stelle;13384
Gennaio;ABRUZZO;Alberghi 4 stelle;1282
Febbraio;ABRUZZO;Alberghi 4 stelle;1439
Marzo;ABRUZZO;Alberghi 4 stelle;1499
Aprile;ABRUZZO;Alberghi 4 stelle;1374
Maggio;ABRUZZO;Alberghi 4 stelle;1542
Giugno;ABRUZZO;Alberghi 4 stelle;1368
Luglio;ABRUZZO;Alberghi 4 stelle;1197
Agosto;ABRUZZO;Alberghi 4 stelle;551
Settembre;ABRUZZO;Alberghi 4 stelle;1391
Ottobre;ABRUZZO;Alberghi 4 stelle;1783
Novembre;ABRUZZO;Alberghi 4 stelle;1852
Dicembre;ABRUZZO;Alberghi 4 stelle;1513
Gennaio;MOLISE;Alberghi 4 stelle;225
Febbraio;MOLISE;Alberghi 4 stelle;232
Marzo;MOLISE;Alberghi 4 stelle;295
Aprile;MOLISE;Alberghi 4 stelle;279
Maggio;MOLISE;Alberghi 4 stelle;269
Giugno;MOLISE;Alberghi 4 stelle;266
Luglio;MOLISE;Alberghi 4 stelle;230
Agosto;MOLISE;Alberghi 4 stelle;109
Settembre;MOLISE;Alberghi 4 stelle;295
Ottobre;MOLISE;Alberghi 4 stelle;313
Novembre;MOLISE;Alberghi 4 stelle;318
Dicembre;MOLISE;Alberghi 4 stelle;314
Gennaio;CAMPANIA;Alberghi 4 stelle;5377
Febbraio;CAMPANIA;Alberghi 4 stelle;6094
Marzo;CAMPANIA;Alberghi 4 stelle;5133
Aprile;CAMPANIA;Alberghi 4 stelle;5674
Maggio;CAMPANIA;Alberghi 4 stelle;5833
Giugno;CAMPANIA;Alberghi 4 stelle;4934
Luglio;CAMPANIA;Alberghi 4 stelle;4841
